,Rate,Accuracy,F_score
11,0.0,[0.91438356],[0.91749175]
12,0.1,[0.81506849],[0.79850746]
13,0.2,[0.87671233],[0.8902439]
14,0.3,[0.78767123],[0.8258427]
15,0.4,[0.80136986],[0.78030303]
16,0.5,[0.77739726],[0.75095785]
17,0.6,[0.82534247],[0.84210526]
18,0.7,[0.81849315],[0.80442804]
